Fielder, Prince,425902,2015,.028,.008,90.9,
Cano, Robinson,429664,2015,-0.008,-0.030,91,
Encarnacion, Edwin,429665,2015,.013,.040,90,
Howard, Ryan,429667,2015,-0.039,-0.077,91.3,
Bautista, Jose,430832,2015,-0.010,.022,92,
Jones, Adam,430945,2015,.004,-0.004,88.2,
Aybar, Erick,430947,2015,-0.005,-0.014,85.7,
Martin, Russell,431145,2015,.005,.044,89.2,
Granderson, Curtis,434158,2015,.004,.000,89.4,
Pagan, Angel,434636,2015,.010,.001,86.3,
Morales, Kendrys,434778,2015,.004,-0.021,92,
Kinsler, Ian,435079,2015,.022,.045,86.1,
McCann, Brian,435263,2015,.011,.056,89.5,
Walker, Neil,435522,2015,.020,.015,88.9,
Desmond, Ian,435622,2015,.014,.021,90.9,
Cruz Jr., Nelson,443558,2015,.017,.020,92.6,
Trumbo, Mark,444432,2015,.010,.007,92,
Peralta, David,444482,2015,.031,.065,91.6,
Escobar, Alcides,444876,2015,-0.005,-0.009,84.6,
Prado, Martin,445988,2015,.014,.021,89,
Duda, Lucas,446263,2015,-0.010,-0.021,92,
Longoria, Evan,446334,2015,.010,-0.031,89.6,
Davis, Chris,448801,2015,.000,-0.027,92,
Zobrist, Ben,450314,2015,.016,.068,88.6,
Fowler, Dexter,451594,2015,.019,.064,87.2,
Headley, Chase,452104,2015,-0.002,-0.030,86.8,
Lind, Adam,452252,2015,.033,.040,89.5,
Cabrera, Asdrubal,452678,2015,.038,.045,88.3,
Tulowitzki, Troy,453064,2015,.023,.023,90,
Blackmon, Charlie,453568,2015,.026,.055,86.9,
Frazier, Todd,453943,2015,.003,.034,89.6,
Markakis, Nick,455976,2015,.033,.034,88.3,
Butler, Billy,456714,2015,.002,-0.051,89.4,
Cain, Lorenzo,456715,2015,.006,.003,90.2,
McCutchen, Andrew,457705,2015,.005,-0.035,90.6,
Jackson, Austin,457706,2015,.006,.005,89.6,
Upton, Justin,457708,2015,.020,.023,89.9,
Maybin, Cameron,457727,2015,-0.001,.004,88.2,
Posey III, Buster,457763,2015,.009,-0.028,89,
Bruce, Jay,457803,2015,-0.016,-0.010,89.8,
Votto, Joey,458015,2015,.026,.002,90.1,
Coghlan, Chris,458085,2015,.006,.041,88.5,
Gardner, Brett,458731,2015,.001,.005,88.8,
Braun, Ryan,460075,2015,.005,-0.004,92.2,
Moss, Brandon,461235,2015,-0.006,-0.057,89.1,
Kemp, Matt,461314,2015,.004,-0.016,89.5,
Plouffe, Trevor,461858,2015,-0.007,-0.006,89.8,
Andrus, Elvis,462101,2015,.009,.021,87.3,
Cervelli, Francisco,465041,2015,.038,.008,88.2,
Cabrera, Melky,466320,2015,-0.002,.022,89.6,
Sandoval, Pablo,467055,2015,.019,.015,88,
Ramos, Wilson,467092,2015,-0.022,-0.054,90.6,
Santana, Carlos,467793,2015,-0.010,-0.013,89.2,
Parra, Gerardo,467827,2015,.032,.063,88.2,
Gonzalez, Carlos,471865,2015,.014,.074,90.3,
Belt, Brandon,474832,2015,.006,-0.029,89.8,
Brantley Jr., Michael,488726,2015,.019,.055,89,
Escobar, Yunel,488862,2015,.031,.017,89.7,
Morrison, Logan,489149,2015,-0.032,-0.053,89.9,
Cespedes, Yoenis,493316,2015,-0.003,-0.004,92.2,
Ramirez, Alexei,493351,2015,.005,.043,84.7,
Solarte, Yangervis,500208,2015,.020,.064,88.1,
Martinez, J.D.,502110,2015,.002,-0.058,91.3,
Reddick, Josh,502210,2015,.006,.032,88.4,
Murphy, Daniel,502517,2015,-0.003,-0.006,89.9,
Goldschmidt, Paul,502671,2015,.042,.012,92,
Altuve, Jose,514888,2015,.051,.077,86.1,
Segura, Jean,516416,2015,.019,.019,86.9,
Castro, Starlin,516770,2015,.024,.006,86.3,
Marte, Starling,516782,2015,.011,-0.011,87.8,
Donaldson, Josh,518626,2015,.018,.023,92.5,
Heyward, Jason,518792,2015,.030,.063,89.1,
LeMahieu, DJ,518934,2015,.025,.009,90.5,
Moreland, Mitch,519048,2015,.001,-0.024,91.4,
Moustakas, Mike,519058,2015,.020,.033,89.4,
Norris, Derek,519083,2015,.030,.079,87.1,
Revere, Ben,519184,2015,.023,.032,83.1,
Rizzo, Anthony,519203,2015,.003,.016,88.7,
Vogt, Stephen,519390,2015,.013,.044,86.9,
Galvis, Freddy,520471,2015,.026,.013,86.1,
Perez, Salvador,521692,2015,-0.005,.011,87.3,
Forsythe, Logan,523253,2015,.031,.051,88.4,
Flores, Wilmer,527038,2015,.027,.069,86.4,
Garcia, Avisail,541645,2015,-0.015,-0.049,88.6,
Inciarte, Ender,542255,2015,.045,.073,85.5,
Burns, Billy,542993,2015,.055,.104,83.2,
Crawford, Brandon,543063,2015,-0.006,-0.022,90.3,
Giavotella, Johnny,543213,2015,.013,.038,85.8,
Gose, Anthony,543238,2015,.030,.058,88.2,
Hosmer, Eric,543333,2015,.007,-0.008,89.8,
Kipnis, Jason,543401,2015,.010,.022,89.4,
Lawrie, Brett,543434,2015,.011,.009,90,
Semien, Marcus,543760,2015,.021,.029,87.1,
Strange-Gordon, Dee,543829,2015,.066,.077,84.4,
Wong, Kolten,543939,2015,.002,.020,87.4,
Gregorius, Didi,544369,2015,.012,.036,85.4,
Trout, Mike,545361,2015,.002,.002,92.9,
Herrera, Odubel,546318,2015,.054,.065,88.7,
Harper, Bryce,547180,2015,.036,.098,91.4,
Abreu, Jose,547989,2015,.020,.046,91,
Polanco, Gregory,570256,2015,-0.001,-0.005,89.9,
Arenado, Nolan,571448,2015,.023,.091,90.6,
Holt, Brock,571788,2015,.027,.048,86.6,
Owings, Chris,572008,2015,.000,-0.003,86.9,
Pollock, AJ,572041,2015,.017,.049,88.9,
Seager, Kyle,572122,2015,-0.016,-0.016,89.3,
Taylor, Michael A.,572191,2015,-0.004,-0.025,88.7,
Carpenter, Matt,572761,2015,-0.013,-0.021,89,
Dozier, Brian,572821,2015,.016,.064,87.2,
Bryant, Kris,592178,2015,.041,.013,89.7,
Castellanos, Nick,592206,2015,-0.002,-0.017,88.3,
Machado, Manny,592518,2015,.019,.050,91.4,
Pederson, Joc,592626,2015,-0.004,-0.014,91.1,
Simmons, Andrelton,592743,2015,-0.009,-0.021,86.5,
Yelich, Christian,592885,2015,-0.003,-0.027,91.7,
Bogaerts, Xander,593428,2015,.049,.059,88,
Calhoun, Kole,594777,2015,.010,.001,86.2,
Eaton, Adam,594809,2015,.038,.081,88.1,
Gattis, Evan,594828,2015,.002,.048,88.9,
Kiermaier, Kevin,595281,2015,-0.005,.042,87.6,
Betts, Mookie,605141,2015,.008,.034,90.4,
Peterson, Jace,607054,2015,-0.006,-0.024,87.1,
Pillar, Kevin,607680,2015,.019,.045,85.8,
Russell, Addison,608365,2015,.038,.058,86.7,
Duffy, Matt,622110,2015,.014,.009,88,
Martinez, Victor,400121,2018,-0.015,-0.053,87.8,
Mauer, Joe,408045,2018,-0.013,-0.069,91.1,
Choo, Shin-Soo,425783,2018,.014,-0.028,89.3,
Molina, Yadier,425877,2018,-0.005,.005,88.2,
Encarnacion, Edwin,429665,2018,.001,-0.005,89.9,
Jones, Adam,430945,2018,.012,.008,88.4,
Kinsler, Ian,435079,2018,-0.008,.012,85.3,
Desmond, Ian,435622,2018,.009,.040,90.1,
Cruz Jr., Nelson,443558,2018,-0.025,-0.050,93.9,
Peralta, David,444482,2018,.015,.047,91.5,
Escobar, Alcides,444876,2018,-0.007,-0.014,84.6,
Jay, Jon,445055,2018,.017,.014,85.2,
Longoria, Evan,446334,2018,-0.006,-0.015,88.5,
Davis, Chris,448801,2018,-0.020,-0.058,89.5,
Zobrist, Ben,450314,2018,.031,.051,89.9,
Cabrera, Asdrubal,452678,2018,.010,.022,90,
Blackmon, Charlie,453568,2018,.015,.057,87.5,
Markakis, Nick,455976,2018,.004,.015,90.6,
Nunez, Eduardo,456488,2018,.007,.039,88.4,
Cain, Lorenzo,456715,2018,.026,.028,89.1,
McCutchen, Andrew,457705,2018,-0.005,-0.020,90,
Upton, Justin,457708,2018,.007,-0.001,90.9,
Votto, Joey,458015,2018,-0.002,-0.058,88.3,
Gardner, Brett,458731,2018,.008,.030,88.1,
Gordon, Alex,460086,2018,-0.008,-0.053,88.5,
Kemp, Matt,461314,2018,.016,-0.043,89.8,
Santana, Carlos,467793,2018,-0.015,-0.002,88.9,
Gonzalez, Carlos,471865,2018,.031,.083,89.7,
Alonso, Yonder,475174,2018,-0.003,-0.020,87.8,
Smoak, Justin,475253,2018,.018,.023,89.5,
Lowrie, Jed,476704,2018,.021,.040,89.2,
Brantley Jr., Michael,488726,2018,.003,.016,90.2,
Gurriel, Yuli,493329,2018,.033,.068,89.3,
Solarte, Yangervis,500208,2018,-0.027,-0.018,87.1,
Rojas, Miguel,500743,2018,-0.012,-0.005,84.7,
Escobar, Eduardo,500871,2018,.025,.058,86.7,
Martinez, Jose,500874,2018,.004,-0.054,91,
Davis, Khris,501981,2018,.000,-0.016,92.5,
Pham, Tommy,502054,2018,-0.012,-0.039,93,
Martinez, J.D.,502110,2018,.023,.009,93,
Goldschmidt, Paul,502671,2018,.019,.001,90.8,
Gonzalez, Marwin,503556,2018,.003,-0.009,89.1,
Altuve, Jose,514888,2018,.027,-0.004,87.2,
Hernandez, Cesar,514917,2018,.010,.004,86,
Segura, Jean,516416,2018,.031,.022,87.8,
Castro, Starlin,516770,2018,.021,-0.002,88.6,
Marte, Starling,516782,2018,.011,.004,88.5,
Dietrich, Derek,518618,2018,.028,.040,87.6,
Freeman, Freddie,518692,2018,.011,-0.027,89.1,
